Scenario_ID,Topology,Node_Count,Node_Density_nodes_per_km2,Terrain_Size_m,Node_Speed_mps,Traffic_Rate_bps,Packet_Size_bytes,TTL,Wait_Time_s,Retry_Attempts,Route_Expiry_s,Buffer_Size_packets,Thresh_Min,Thresh_Max,Drop_Probability,Source_Node,Destination_Node,Initial_Hops,AODV-AERS1_Throughput_Mbps,AODV-AERS1_PDR,AODV-AERS1_E2E_Delay_ms,AODV-AERS1_TxPackets,AODV-AERS1_RxPackets,AODV-AERS2_Throughput_Mbps,AODV-AERS2_PDR,AODV-AERS2_E2E_Delay_ms,AODV-AERS2_TxPackets,AODV-AERS2_RxPackets,AODV-AERS3_Throughput_Mbps,AODV-AERS3_PDR,AODV-AERS3_E2E_Delay_ms,AODV-AERS3_TxPackets,AODV-AERS3_RxPackets,OLSR_Throughput_Mbps,OLSR_PDR,OLSR_E2E_Delay_ms,OLSR_TxPackets,OLSR_RxPackets,DSDV_Throughput_Mbps,DSDV_PDR,DSDV_E2E_Delay_ms,DSDV_TxPackets,DSDV_RxPackets,AODV_Throughput_Mbps,AODV_PDR,AODV_E2E_Delay_ms,AODV_TxPackets,AODV_RxPackets,Optimal_Protocol_Throughput,Optimal_Protocol_PDR,Optimal_Protocol_Delay,Winning_Throughput_Mbps,Winning_PDR,Winning_Delay_ms
422,LINE,25,11.966739,1445.380175,12.75707,864144,1103,11,3.023286,1,4.288627,109,16,75,0.143045,0,24,6,0.668346,0.754768,14.936882,1468,1108,0.647234,0.730926,15.64593,1468,1073,0.711776,0.803815,15.489086,1468,1180,0.041621,0.099711,140.699333,692,69,0.382429,0.43188,14.296108,1468,634,0.473512,0.534741,12.54746,1468,785,AODV-AERS3,AODV-AERS3,AODV,0.711776,0.803815,12.54746
415,LINE,60,133.766875,669.732438,1.670664,904351,751,5,3.22674,1,5.164885,143,17,65,0.134722,0,59,3,0,0,-1,2257,0,0.509362,0.543199,66.346585,2257,1226,0.599103,0.638901,86.886377,2257,1442,0.715434,0.914984,10.334382,1882,1722,0.870818,0.928666,9.134676,2257,2096,0.058581,0.062472,125.53618,2257,141,DSDV,DSDV,DSDV,0.870818,0.928666,9.134676
238,RANDOM,53,40.355077,1146.011148,11.945278,588168,1309,11,1.99625,1,5.355529,138,34,73,0.198864,3,18,7,0,0,-1,842,0,0,0,-1,842,0,0,0,-1,842,0,0,0,-1,299,0,0,0,-1,842,0,0,0,-1,842,0,NONE,NONE,NONE,0,0,-1
523,TWO_CLUSTER,71,156.142181,674.324679,0.9579,1033670,502,9,1.022782,1,2.677966,142,18,94,0.071166,33,50,3,0,0,-1,3860,0,0.752741,0.689896,46.492503,3860,2663,0.291712,0.267358,396.909053,3860,1032,0.768005,0.836515,66.899987,3248,2717,1.004597,0.920725,53.394675,3860,3554,0.204651,0.187565,209.200798,3860,724,DSDV,DSDV,AODV-AERS2,1.004597,0.920725,46.492503
738,RANDOM,77,181.41369,651.49387,5.617431,1203988,152,8,1.593305,3,1.598157,100,21,59,0.129111,32,49,4,0.044256,0.031042,373.635421,14851,461,0.183648,0.128813,462.21038,14851,1913,0.0144,0.0101,374.770997,14851,150,0.255648,0.208879,619.246117,12749,2663,0.187104,0.131237,494.589123,14851,1949,0.128928,0.090432,425.769647,14851,1343,OLSR,OLSR,AODV-AERS1,0.255648,0.208879,373.635421
934,RING,65,115.20979,751.1246,0.409825,1935969,845,8,0.961801,3,3.331134,128,23,63,0.181937,12,45,3,0.553133,0.276601,354.583938,4295,1188,0.845995,0.42305,345.736057,4295,1817,0.602952,0.301513,522.618895,4295,1295,1.058774,0.623697,433.74573,3646,2274,1.166794,0.583469,584.890274,4295,2506,0.486086,0.243073,396.402596,4295,1044,DSDV,OLSR,AODV-AERS2,1.166794,0.623697,345.736057
172,RING,48,61.09804,886.353535,1.754307,430532,149,8,0.532908,1,5.924813,93,15,48,0.100788,22,46,4,0.461805,0.903083,103.590025,5417,4892,0.477098,0.932989,113.045636,5417,5054,0,0,-1,5417,0,0.303307,0.736758,181.822556,4361,3213,0.446418,0.872992,249.671798,5417,4729,0.428576,0.838102,51.254778,5417,4540,AODV-AERS2,AODV-AERS2,AODV,0.477098,0.932989,51.254778
334,HOTSPOT,36,61.277031,766.482766,4.259168,1040233,1376,7,3.060796,2,4.491985,67,11,39,0.086084,27,32,4,0.788486,0.743119,43.349065,1417,1053,0.950976,0.89626,8.387323,1417,1270,1.043078,0.983063,6.924148,1417,1393,0.622253,0.703046,38.398794,1182,831,0.476237,0.448836,71.801477,1417,636,1.014624,0.956246,7.95291,1417,1355,AODV-AERS3,AODV-AERS3,AODV-AERS3,1.043078,0.983063,6.924148
846,RANDOM,60,424.836945,375.806672,1.773835,1045009,215,6,1.541051,2,3.610661,169,29,108,0.165065,22,39,2,0.612101,0.518271,308.661004,9113,4723,0.563242,0.476901,327.102591,9113,4346,0.578534,0.48985,303.93698,9113,4464,0.840586,0.71173,425.500089,9113,6486,0.671976,0.568967,321.240666,9113,5185,0.633485,0.536377,313.687653,9113,4888,OLSR,OLSR,AODV-AERS3,0.840586,0.71173,303.93698
821,LINE,24,10.566525,1507.091205,8.371085,307670,976,9,1.234911,1,1.399745,72,16,38,0.071693,0,23,6,0.259701,0.820643,24.279285,591,485,0.112448,0.35533,9.180759,591,210,0.286475,0.905245,16.977545,591,535,0.125835,0.921569,8.937074,255,235,0.048727,0.153976,25.92361,591,91,0.257559,0.813875,22.694083,591,481,AODV-AERS3,OLSR,OLSR,0.286475,0.921569,8.937074
